Region_Oblast;Federal_District;EIII_Regional_Score;Mining_Output_bln_rub;Metallurgy_Proxy_bln_rub;Chemical_Petrochemical_bln_rub;Manufacturing_Total_bln_rub;Energy_Gas_Water_bln_rub;Agriculture_bln_rub;Ind_Production_Index_2024;Agro_Index_2024;Gas_Total_Demand_Proxy_bln_rub;O2_Oxygen_Need_Score_0_10;N2_Nitrogen_Need_Score_0_10;H2_Hydrogen_Need_Score_0_10;CO2_Need_Score_0_10;Ar_Argon_Need_Score_0_10;AirLiquide_Priority;Key_Industrial_Players;Source_Rosstat_Page
Челябинская область;Уральский;32.6;185.0;859.0;421.2;1685.0;148.0;92.0;99.9;101.5;445.5;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; MMK steel (N°1 acier Russie), ChMK, ferrochrome, machinebuilding - MAJEUR O2"
Иркутская область;Сибирский;42.9;852.0;1246.0;246.2;985.0;98.0;52.0;105.2;100.8;441.1;10.0;10.0;10.0;9.34;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; RUSAL Bratsk Al (N°1 Al monde), oil/gas IRKUTSK OIL, chemicals Sayankhimplast"
Нижегородская область;Приволжский;41.0;12.0;686.0;421.2;1685.0;125.0;82.0;104.9;99.0;398.4;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; GAZ automotive, Lukoil refinery, defense, Sarov nuclear center, chemicals"
Самарская область;Приволжский;41.0;238.0;790.0;345.0;1380.0;118.0;102.0;105.8;103.6;387.6;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; AvtoVAZ, Kuibyshev Refinery, chemicals, aerospace, AK Bars"
Сахалинская область;Дальневосточный;35.6;1285.0;1399.0;71.2;285.0;48.0;12.0;102.8;100.4;380.5;10.0;10.0;3.57;2.59;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Sakhalin-1/2 LNG (Rosneft/Novatek), oil offshore"
Республика Саха (Якутия);Дальневосточный;40.8;1285.0;1383.0;61.2;245.0;68.0;28.0;108.2;104.1;377.5;10.0;10.0;3.74;2.89;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; ALROSA diamonds (25% mondial), gas Chayanda (Power of Siberia), coal, gold"
Краснодарский край;Южный;44.7;78.0;592.0;321.2;1285.0;148.0;420.0;108.4;103.2;366.6;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Novorossiysk port (N°1 Russie), oil, agro, tourism, cement"
Республика Башкортостан;Приволжский;40.0;152.0;666.0;321.2;1285.0;108.0;185.0;107.5;100.7;352.9;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Bashneft/Rosneft refinery, Ufaorgsintez chemicals, soda Bereznki"
Пермский край;Приволжский;38.2;385.0;817.0;270.0;1080.0;92.0;65.0;108.8;103.2;349.5;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; LUKOIL-Perm, Uralchem/EuroChem potash, titanium VSMPO, defense"
Тюменская обл. без АО;Уральский;25.2;300.0;772.0;295.0;1180.0;55.0;69.0;99.3;98.6;343.6;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Tyumen city, logistics hub, SIBUR petrochemicals, Tobolsk"
Оренбургская область;Приволжский;19.3;585.0;795.0;131.2;525.0;78.0;128.0;97.1;108.3;281.7;10.0;10.0;6.32;8.74;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; UGMK copper, oil/gas Orenburgneft, nickel, chrome"
Ростовская область;Южный;37.7;42.0;436.0;246.2;985.0;148.0;298.0;107.2;102.8;281.3;10.0;10.0;10.0;10.0;10.0;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Taganrog port, Atommash, steel, machinebuilding, Rostov NPP"
Белгородская область;Центральный;11.8;145.0;437.4;182.8;731.0;62.0;295.0;93.8;100.0;233.9;10.0;10.0;7.64;10.0;9.25;TIER 2 - HAUTE;Rosstat Region_Pokaz_2025.pdf, Table 1.1 p.19-20;"Rosstat Region_Pokaz_2025.pdf, Table 1.1 p.19-20; mining=iron ore Mikhailovsky GOK; mfg=steel/metallurgy"
Волгоградская область;Южный;29.4;52.0;359.2;192.0;768.0;92.0;165.0;103.8;101.4;212.5;10.0;10.0;8.7;10.0;8.71;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; LUKOIL refinery, metallurgy EVRAZ, chemicals, major O2 consumer"
Ленинградская область;Северо-Западный;34.1;28.0;358.0;206.2;825.0;95.0;75.0;111.2;101.8;210.6;10.0;10.0;9.25;9.0;9.08;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Ust-Luga port, petrochemicals, fertilizers (PhosAgro)"
Новосибирская область;Сибирский;30.7;18.0;332.0;196.2;785.0;95.0;108.0;103.8;104.5;202.9;10.0;10.0;8.91;9.94;8.55;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Novatek LNG, defense/electronics, biotech, Trans-Siberian hub"
Омская область;Сибирский;26.8;12.0;326.0;196.2;785.0;78.0;92.0;103.2;100.7;196.5;10.0;10.0;8.49;9.34;8.49;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Gazpromneft refinery Omsk, SIBUR petrochemicals, defense"
Воронежская область;Центральный;32.3;18.0;274.8;160.5;642.0;95.0;240.0;108.4;103.2;185.3;10.0;10.0;7.72;10.0;7.03;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; VASO aviation, Novovoronezhskaya NPP"
Удмуртская Республика;Приволжский;28.9;285.0;440.2;97.0;388.0;42.0;58.0;113.9;103.4;166.0;10.0;10.0;4.28;5.08;6.99;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Izhmash/Kalashnikov (defense), oil Udmurtneft, machinebuilding"
Саратовская область;Приволжский;29.9;45.0;264.2;137.0;548.0;85.0;145.0;108.1;92.3;160.1;10.0;10.0;6.69;9.55;6.3;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Balakovo NPP, chemicals, machinebuilding, refinery"
Республика Коми;Северо-Западный;23.9;468.0;528.8;38.0;152.0;42.0;8.0;102.6;100.0;154.2;10.0;10.0;2.32;1.44;6.3;TIER 2 - HAUTE;Rosstat p.19-20;"Rosstat p.19-20; Lukoil oil/gas, coal Vorkuta, timber"
Липецкая область;Центральный;14.8;20.0;244.0;140.0;560.0;48.0;120.0;98.7;101.8;146.8;10.0;10.0;5.87;8.7;6.17;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; NLMK steel (2ème aciérie Russie - gros consommateur O2/N2)"
Вологодская область;Северо-Западный;21.7;8.0;247.2;149.5;598.0;52.0;55.0;102.2;100.9;146.4;10.0;10.0;6.28;6.55;6.46;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Severstal (Cherepovets) - MAJEUR O2/N2 steel; chemicals, forestry"
Тульская область;Центральный;28.0;15.0;238.2;139.5;558.0;65.0;72.0;111.4;100.4;143.8;10.0;10.0;6.28;6.88;6.1;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; metallurgy (KMZ), chemicals, defense industry"
Томская область;Сибирский;25.3;285.0;399.0;71.2;285.0;48.0;28.0;103.5;100.4;142.1;10.0;10.0;3.57;3.19;5.89;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Tomsk Neftechim SIBUR, oil, academic city, electronics, nuclear"
Ставропольский край;Северо-Кавказский;28.8;28.0;187.2;99.5;398.0;68.0;235.0;108.2;103.8;129.4;10.0;10.0;5.02;10.0;4.53;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; chemicals (EuroChem fertilizers), agro, tourism, pharmaceuticals"
Хабаровский край;Дальневосточный;27.6;145.0;292.2;92.0;368.0;68.0;18.0;104.8;100.9;129.3;10.0;10.0;4.77;3.44;5.38;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Komsomolsk refinery Rosneft, aviation (Sukhoi/KnAAZ), shipbuilding"
Курская область;Центральный;18.6;132.0;244.0;70.0;280.0;88.0;135.0;100.5;102.4;123.0;10.0;10.0;4.53;7.16;4.31;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Mikhailovsky iron ore, Kursk NPP"
Приморский край;Дальневосточный;23.9;85.0;240.2;97.0;388.0;72.0;38.0;102.8;100.5;122.0;10.0;10.0;5.03;4.33;4.99;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Vladivostok port (FREE PORT), shipbuilding, fisheries, SEZ, APEC hub"
Ярославская область;Центральный;24.6;6.0;186.8;113.0;452.0;68.0;55.0;103.9;100.5;117.7;10.0;10.0;5.47;5.45;4.88;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; oil refining (Slavneft), chemicals, machinebuilding"
Мурманская область;Северо-Западный;18.5;285.0;352.2;42.0;168.0;48.0;8.0;100.8;100.5;114.9;10.0;10.0;2.6;1.56;4.64;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Norilsk Nickel (Kola), KGMK nickel/copper, fisheries, port"
Алтайский край;Сибирский;25.9;12.0;166.0;96.2;385.0;52.0;185.0;104.5;100.5;114.6;10.0;10.0;4.51;9.82;4.23;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; chemicals (Barnaul), agro processing, machinebuilding"
Астраханская область;Южный;25.8;248.0;308.8;38.0;152.0;38.0;62.0;104.8;101.5;106.0;10.0;10.0;2.22;3.46;4.1;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Caspian Sea oil/gas, shipbuilding, fisheries"
Владимирская область;Центральный;26.0;12.0;171.2;99.5;398.0;45.0;52.0;106.1;100.8;102.6;10.0;10.0;4.44;4.94;4.37;TIER 3 - MOYENNE;Rosstat Region_Pokaz_2025.pdf p.19-20;"Rosstat Region_Pokaz_2025.pdf p.19-20; chemistry/glass/textile mfg"
Калужская область;Центральный;25.5;6.0;166.8;100.5;402.0;38.0;42.0;107.3;101.2;99.7;10.0;10.0;4.3;4.59;4.35;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; automotive SEZ Grabtsevo, pharma"
Архангельская область;Северо-Западный;20.1;78.0;202.8;78.0;312.0;52.0;22.0;101.9;100.1;98.4;10.0;10.0;3.9;3.17;4.11;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; incl. Nenets AO; Sevmash shipyard, forestry, Arkhangelsk port"
Калининградская область;Северо-Западный;25.6;15.0;162.2;92.0;368.0;42.0;52.0;109.4;101.5;96.3;10.0;9.67;4.12;4.71;4.08;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; SEZ, port Baltic, automotive assembly, food"
Рязанская область;Центральный;20.9;18.0;142.0;77.5;310.0;78.0;62.0;102.4;100.6;92.8;8.91;8.31;4.53;4.65;3.49;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; oil refinery RNPK, electronics, machine building"
Тверская область;Центральный;25.6;8.0;122.0;71.2;285.0;68.0;52.0;106.5;100.8;82.0;7.93;7.38;4.07;4.09;3.12;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Kalinin NPP, machinebuilding, textile"
Кировская область;Приволжский;24.8;8.0;126.0;73.8;295.0;45.0;55.0;116.8;99.6;79.8;8.21;7.62;3.58;4.28;3.23;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; chemicals (Kirovo-Chepetsk), machinebuilding, forestry"
Амурская область;Дальневосточный;20.4;188.0;227.2;24.5;98.0;42.0;38.0;102.5;100.3;78.4;8.29;8.32;1.87;2.16;2.93;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Vostochny cosmodrome, gold Pokrovskoye, Blagoveshchensk China border"
Республика Крым;Южный;25.6;18.0;117.2;62.0;248.0;58.0;85.0;105.2;101.8;77.7;7.24;6.76;3.52;5.05;2.83;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Crimea Bridge access, tourism, agriculture, chemicals Titan"
Ульяновская область;Приволжский;24.6;18.0;129.2;69.5;278.0;38.0;58.0;121.5;96.3;77.5;8.05;7.51;3.27;4.26;3.15;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; aviation (UAZ, Aviastar), defense, machinebuilding"
Забайкальский край;Дальневосточный;25.1;185.0;227.0;26.2;105.0;42.0;18.0;105.8;100.2;77.2;8.38;8.41;1.92;1.46;2.97;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; copper mining, coal, uranium, China border Chita"
Пензенская область;Приволжский;24.7;5.0;119.0;71.2;285.0;35.0;72.0;110.0;94.4;76.7;7.84;7.28;3.25;4.84;3.09;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; instrumentation, defense electronics, food, pharma"
Брянская область;Центральный;24.2;8.0;114.8;66.8;267.0;28.0;92.0;105.2;101.5;74.1;7.45;6.92;2.93;5.45;2.93;TIER 3 - MOYENNE;Rosstat Region_Pokaz_2025.pdf p.19-20;Rosstat Region_Pokaz_2025.pdf p.19-20
Чувашская Республика;Приволжский;24.4;2.0;114.8;70.5;282.0;35.0;52.0;114.3;100.5;73.3;7.67;7.11;3.23;4.06;3.03;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; ELARA electronics, chemicals (Khimprom), machinebuilding"
Республика Хакасия;Сибирский;21.0;138.0;192.0;33.8;135.0;25.0;18.0;103.5;104.5;68.9;7.79;7.69;1.75;1.69;2.82;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; RUSAL Sayano-Shushenskaya Al, coal, iron ore, hydropower"
Республика Дагестан;Северо-Кавказский;27.2;18.0;97.2;49.5;198.0;42.0;128.0;112.8;103.5;68.1;5.89;5.51;2.7;6.29;2.29;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Mahachkala port Caspian, food, Caspian oil"
Республика Бурятия;Дальневосточный;24.1;45.0;124.2;49.5;198.0;38.0;22.0;105.2;100.9;63.2;6.7;6.36;2.6;2.31;2.56;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Ulan-Ude aviation, coal mining, timber"
Смоленская область;Центральный;22.8;4.0;83.2;49.5;198.0;72.0;42.0;104.1;100.2;62.1;5.47;5.08;3.45;3.06;2.15;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; Smolensk NPP, diamonds, pharma"
Тамбовская область;Центральный;23.3;3.0;82.2;49.5;198.0;28.0;115.0;107.8;102.1;60.4;5.44;5.04;2.35;5.8;2.14;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; agro-processing, sugar, chemicals"
Республика Мордовия;Приволжский;23.1;3.0;86.2;52.0;208.0;28.0;42.0;107.6;94.2;55.2;5.71;5.29;2.43;3.13;2.25;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; fiber optics, lighting, cement, electronics"
Республика Карелия;Северо-Западный;19.7;32.0;106.0;46.2;185.0;28.0;12.0;103.2;99.8;54.3;5.95;5.62;2.24;1.84;2.29;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; forestry, mining, metallurgy (Severstal supplier)"
Новгородская область;Северо-Западный;23.1;12.0;91.2;49.5;198.0;28.0;22.0;105.8;100.4;53.3;5.71;5.32;2.35;2.31;2.23;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; chemicals (Akron fertilizers), electronics"
Курганская область;Уральский;23.0;4.0;82.0;48.8;195.0;25.0;38.0;127.2;111.4;51.7;5.39;5.0;2.25;2.89;2.12;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; machinebuilding (Kurganmashzavod), pharma, food"
Чукотский АО;Дальневосточный;22.8;185.0;191.0;3.8;15.0;12.0;2.0;108.0;100.8;50.2;5.96;6.16;0.43;0.19;2.01;TIER 3 - MOYENNE;Rosstat p.19-20;"Rosstat p.19-20; gold (Chukotka Au, Barrick JV), coal Bering, Arctic mining"
Орловская область;Центральный;22.8;5.0;72.2;42.0;168.0;25.0;72.0;105.7;101.3;49.5;4.69;4.36;2.02;3.96;1.84;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; machinebuilding, food"
Ивановская область;Центральный;22.4;2.0;69.2;42.0;168.0;28.0;25.0;104.8;99.5;44.7;4.6;4.26;2.1;2.2;1.81;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; textile industry dominant"
Республика Марий Эл;Приволжский;22.4;2.0;62.8;38.0;152.0;22.0;38.0;108.4;104.9;41.4;4.16;3.86;1.82;2.56;1.64;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; instrumentation, electronics, food, forestry"
Костромская область;Центральный;19.7;3.0;59.0;35.0;140.0;25.0;28.0;103.6;100.1;38.6;3.87;3.59;1.79;2.1;1.52;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; metalwork, jewelry, forestry"
Магаданская область;Дальневосточный;16.7;115.0;129.0;8.8;35.0;12.0;2.0;102.2;100.5;37.7;4.4;4.47;0.59;0.34;1.52;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; N°1 or Russie (Polyus, Polymetal), fisheries, très isolé"
Псковская область;Северо-Западный;22.1;4.0;51.2;29.5;118.0;20.0;28.0;108.4;100.2;33.1;3.31;3.08;1.48;1.94;1.3;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; machinebuilding, electronics"
Кабардино-Балкарская Республика;Северо-Кавказский;22.1;8.0;42.0;21.2;85.0;18.0;48.0;107.2;102.8;28.6;2.53;2.38;1.16;2.44;0.99;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; Tyrnyauz tungsten-molybdenum, food, hydropower"
Чеченская Республика;Северо-Кавказский;23.3;18.0;49.2;19.5;78.0;22.0;28.0;110.5;103.0;28.3;2.65;2.51;1.2;1.63;1.01;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; oil (Rosneft), construction boom, food"
Республика Северная Осетия – Алания;Северо-Кавказский;21.9;8.0;40.8;20.5;82.0;18.0;25.0;109.2;102.4;25.7;2.45;2.3;1.13;1.55;0.95;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; Electrozinc (zinc/lead), food distillery, electronics"
Камчатский край;Дальневосточный;21.7;15.0;46.2;19.5;78.0;18.0;8.0;105.5;100.6;24.8;2.56;2.42;1.1;0.89;0.98;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; fisheries (king crab, salmon), geothermal energy, gold"
г. Севастополь;Южный;21.9;2.0;29.2;17.0;68.0;18.0;8.0;108.5;100.5;19.5;1.9;1.76;1.02;0.81;0.75;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; military port, shiprepair, tourism"
Республика Адыгея;Южный;21.3;2.0;26.8;15.5;62.0;10.0;28.0;108.2;102.5;18.6;1.73;1.61;0.77;1.52;0.68;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; food processing, forestry, tourism"
Карачаево-Черкесская Республика;Северо-Кавказский;21.3;5.0;25.8;13.0;52.0;12.0;28.0;105.8;101.5;17.6;1.55;1.46;0.73;1.44;0.6;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; cement, food, tourism"
Республика Тыва;Сибирский;18.6;28.0;36.8;5.5;22.0;8.0;15.0;103.8;95.3;14.6;1.43;1.42;0.38;0.73;0.51;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; coal Ulug-Khemsky, strategic cobalt, difficult access"
Еврейская АО;Дальневосточный;11.9;28.0;36.8;5.5;22.0;8.0;8.0;100.5;100.2;13.9;1.43;1.42;0.38;0.46;0.51;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; Kimkan iron ore, timber, small region, China border"
Республика Калмыкия;Южный;17.9;15.0;23.8;5.5;22.0;8.0;32.0;103.5;101.2;13.1;1.04;1.02;0.38;1.36;0.38;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; livestock, oil, solar energy"
Республика Ингушетия;Северо-Кавказский;20.9;2.0;9.2;4.5;18.0;8.0;15.0;108.5;102.0;7.4;0.55;0.51;0.35;0.7;0.21;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; low industrial base, construction growth"
Республика Алтай;Сибирский;20.6;3.0;10.2;4.5;18.0;5.0;18.0;116.3;100.5;7.4;0.58;0.54;0.28;0.81;0.22;TIER 4 - FAIBLE;Rosstat p.19-20;"Rosstat p.19-20; tourism, herding, very low industrial base"
