Region_Oblast;Federal_District;Population_2024_thou;GRP_PRB_2023_bln_rub;Investment_Fixed_Capital_bln_rub;Industrial_Production_Index_2024;Metallurgy_Mining_Output_bln_rub;Chemical_Petrochemical_Output_bln_rub;Manufacturing_Total_bln_rub;Energy_Gas_Water_Supply_bln_rub;Agriculture_Output_bln_rub;Construction_Volume_thou_m2;Retail_Trade_bln_rub;Avg_Monthly_Wage_RUB;Agriculture_Index_2024;Gas_Industrial_Demand_Proxy_bln_rub;EIII_Regional_Score;Top_Opportunity_Sector_For_Gases;Source_Rosstat_Page
Нижегородская область;Приволжский;3128.0;2810.0;725.0;104.9;686.0;421.2;1685.0;125.0;82.0;2850.0;632.0;85200.0;99.0;398.4;41.0;Métallurgie;"Rosstat p.19-20; GAZ automotive, Lukoil refinery, defense, Sarov nuclear center, chemicals"
Республика Саха (Якутия);Дальневосточный;1000.0;2320.0;852.0;108.2;1383.0;61.2;245.0;68.0;28.0;680.0;195.0;118000.0;104.1;377.5;40.8;Métallurgie;"Rosstat p.19-20; ALROSA diamonds (25% mondial), gas Chayanda (Power of Siberia), coal, gold"
Республика Башкортостан;Приволжский;4076.0;2755.0;762.0;107.5;666.0;321.2;1285.0;108.0;185.0;3280.0;598.0;68900.0;100.7;352.9;40.0;Métallurgie;"Rosstat p.19-20; Bashneft/Rosneft refinery, Ufaorgsintez chemicals, soda Bereznki"
Пермский край;Приволжский;2534.0;2180.0;685.0;108.8;817.0;270.0;1080.0;92.0;65.0;1580.0;398.0;80200.0;103.2;349.5;38.2;Métallurgie;"Rosstat p.19-20; LUKOIL-Perm, Uralchem/EuroChem potash, titanium VSMPO, defense"
Ростовская область;Южный;4155.0;2892.0;782.0;107.2;436.0;246.2;985.0;148.0;298.0;2850.0;762.0;65800.0;102.8;281.3;37.7;Métallurgie;"Rosstat p.19-20; Taganrog port, Atommash, steel, machinebuilding, Rostov NPP"
Ханты-Мансийский АО – Югра;Уральский;1730.0;8250.0;2185.0;96.5;5124.0;171.2;685.0;185.0;8.0;1250.0;352.0;128000.0;93.9;1349.1;37.2;Métallurgie;"Rosstat p.19-20; KhMAO N°1 pétrole Russie 42%; Rosneft, Lukoil, Surgutneftegaz"
Сахалинская область;Дальневосточный;477.0;2185.0;852.0;102.8;1399.0;71.2;285.0;48.0;12.0;380.0;92.0;135000.0;100.4;380.5;35.6;Métallurgie;"Rosstat p.19-20; Sakhalin-1/2 LNG (Rosneft/Novatek), oil offshore"
Ленинградская область;Северо-Западный;2015.0;1620.0;542.0;111.2;358.0;206.2;825.0;95.0;75.0;3200.0;298.0;82400.0;101.8;210.6;34.1;Métallurgie;"Rosstat p.19-20; Ust-Luga port, petrochemicals, fertilizers (PhosAgro)"
Челябинская область;Уральский;3452.0;2852.0;812.0;99.9;859.0;421.2;1685.0;148.0;92.0;1950.0;545.0;79500.0;101.5;445.5;32.6;Métallurgie;"Rosstat p.19-20; MMK steel (N°1 acier Russie), ChMK, ferrochrome, machinebuilding - MAJEUR O2"
Воронежская область;Центральный;2277.0;1450.0;368.0;108.4;274.8;160.5;642.0;95.0;240.0;2950.0;390.0;68200.0;103.2;185.3;32.3;Métallurgie;"Rosstat p.19-20; VASO aviation, Novovoronezhskaya NPP"
Новосибирская область;Сибирский;2840.0;1985.0;558.0;103.8;332.0;196.2;785.0;95.0;108.0;2450.0;485.0;75200.0;104.5;202.9;30.7;Métallurgie;"Rosstat p.19-20; Novatek LNG, defense/electronics, biotech, Trans-Siberian hub"
Саратовская область;Приволжский;2392.0;1328.0;362.0;108.1;264.2;137.0;548.0;85.0;145.0;1580.0;312.0;58900.0;92.3;160.1;29.9;Métallurgie;"Rosstat p.19-20; Balakovo NPP, chemicals, machinebuilding, refinery"
Волгоградская область;Южный;2395.0;1618.0;418.0;103.8;359.2;192.0;768.0;92.0;165.0;1480.0;385.0;68700.0;101.4;212.5;29.4;Métallurgie;"Rosstat p.19-20; LUKOIL refinery, metallurgy EVRAZ, chemicals, major O2 consumer"
Удмуртская Республика;Приволжский;1459.0;985.0;352.0;113.9;440.2;97.0;388.0;42.0;58.0;820.0;195.0;68200.0;103.4;166.0;28.9;Métallurgie;"Rosstat p.19-20; Izhmash/Kalashnikov (defense), oil Udmurtneft, machinebuilding"
Ставропольский край;Северо-Кавказский;2803.0;1125.0;318.0;108.2;187.2;99.5;398.0;68.0;235.0;2180.0;362.0;58800.0;103.8;129.4;28.8;Agro-industrie;"Rosstat p.19-20; chemicals (EuroChem fertilizers), agro, tourism, pharmaceuticals"
Тульская область;Центральный;1437.0;968.0;248.0;111.4;238.2;139.5;558.0;65.0;72.0;1020.0;228.0;73200.0;100.4;143.8;28.0;Métallurgie;"Rosstat p.19-20; metallurgy (KMZ), chemicals, defense industry"
Хабаровский край;Дальневосточный;1280.0;1128.0;368.0;104.8;292.2;92.0;368.0;68.0;18.0;680.0;215.0;92500.0;100.9;129.3;27.6;Métallurgie;"Rosstat p.19-20; Komsomolsk refinery Rosneft, aviation (Sukhoi/KnAAZ), shipbuilding"
Республика Дагестан;Северо-Кавказский;3202.0;1012.0;312.0;112.8;97.2;49.5;198.0;42.0;128.0;2850.0;362.0;45200.0;103.5;68.1;27.2;Agro-industrie;"Rosstat p.19-20; Mahachkala port Caspian, food, Caspian oil"
Омская область;Сибирский;1887.0;1485.0;345.0;103.2;326.0;196.2;785.0;78.0;92.0;1020.0;285.0;68200.0;100.7;196.5;26.8;Métallurgie;"Rosstat p.19-20; Gazpromneft refinery Omsk, SIBUR petrochemicals, defense"
Владимирская область;Центральный;1341.0;750.0;155.0;106.1;171.2;99.5;398.0;45.0;52.0;960.0;190.0;64900.0;100.8;102.6;26.0;Métallurgie;"Rosstat Region_Pokaz_2025.pdf p.19-20; chemistry/glass/textile mfg"
Алтайский край;Сибирский;2240.0;948.0;202.0;104.5;166.0;96.2;385.0;52.0;185.0;1420.0;248.0;52800.0;100.5;114.6;25.9;Métallurgie;"Rosstat p.19-20; chemicals (Barnaul), agro processing, machinebuilding"
Астраханская область;Южный;993.0;598.0;195.0;104.8;308.8;38.0;152.0;38.0;62.0;540.0;145.0;68500.0;101.5;106.0;25.8;Métallurgie;"Rosstat p.19-20; Caspian Sea oil/gas, shipbuilding, fisheries"
Калининградская область;Северо-Западный;1047.0;742.0;148.0;109.4;162.2;92.0;368.0;42.0;52.0;820.0;185.0;72100.0;101.5;96.3;25.6;Métallurgie;"Rosstat p.19-20; SEZ, port Baltic, automotive assembly, food"
Республика Крым;Южный;1870.0;782.0;265.0;105.2;117.2;62.0;248.0;58.0;85.0;980.0;282.0;58200.0;101.8;77.7;25.6;Énergie/Gaz;"Rosstat p.19-20; Crimea Bridge access, tourism, agriculture, chemicals Titan"
Тверская область;Центральный;1219.0;620.0;168.0;106.5;122.0;71.2;285.0;68.0;52.0;720.0;172.0;65400.0;100.8;82.0;25.6;Énergie/Gaz;"Rosstat p.19-20; Kalinin NPP, machinebuilding, textile"
Калужская область;Центральный;988.0;713.0;178.0;107.3;166.8;100.5;402.0;38.0;42.0;780.0;168.0;76300.0;101.2;99.7;25.5;Métallurgie;"Rosstat p.19-20; automotive SEZ Grabtsevo, pharma"
Томская область;Сибирский;1073.0;898.0;248.0;103.5;399.0;71.2;285.0;48.0;28.0;780.0;168.0;82800.0;100.4;142.1;25.3;Métallurgie;"Rosstat p.19-20; Tomsk Neftechim SIBUR, oil, academic city, electronics, nuclear"
Тюменская обл. без АО;Уральский;1532.0;2270.0;885.0;99.3;772.0;295.0;1180.0;55.0;69.0;1470.0;305.0;88000.0;98.6;343.6;25.2;Métallurgie;"Rosstat p.19-20; Tyumen city, logistics hub, SIBUR petrochemicals, Tobolsk"
Забайкальский край;Дальневосточный;1017.0;552.0;145.0;105.8;227.0;26.2;105.0;42.0;18.0;420.0;112.0;72800.0;100.2;77.2;25.1;Métallurgie;"Rosstat p.19-20; copper mining, coal, uranium, China border Chita"
Кировская область;Приволжский;1190.0;598.0;148.0;116.8;126.0;73.8;295.0;45.0;55.0;680.0;148.0;62800.0;99.6;79.8;24.8;Métallurgie;"Rosstat p.19-20; chemicals (Kirovo-Chepetsk), machinebuilding, forestry"
Пензенская область;Приволжский;1256.0;598.0;145.0;110.0;119.0;71.2;285.0;35.0;72.0;920.0;155.0;58500.0;94.4;76.7;24.7;Métallurgie;"Rosstat p.19-20; instrumentation, defense electronics, food, pharma"
Ульяновская область;Приволжский;1195.0;548.0;175.0;121.5;129.2;69.5;278.0;38.0;58.0;720.0;155.0;62100.0;96.3;77.5;24.6;Métallurgie;"Rosstat p.19-20; aviation (UAZ, Aviastar), defense, machinebuilding"
Ярославская область;Центральный;1218.0;808.0;205.0;103.9;186.8;113.0;452.0;68.0;55.0;740.0;202.0;72800.0;100.5;117.7;24.6;Métallurgie;"Rosstat p.19-20; oil refining (Slavneft), chemicals, machinebuilding"
Чувашская Республика;Приволжский;1197.0;545.0;98.0;114.3;114.8;70.5;282.0;35.0;52.0;720.0;138.0;57800.0;100.5;73.3;24.4;Métallurgie;"Rosstat p.19-20; ELARA electronics, chemicals (Khimprom), machinebuilding"
Брянская область;Центральный;1174.0;632.0;131.0;105.2;114.8;66.8;267.0;28.0;92.0;720.0;155.0;65800.0;101.5;74.1;24.2;Métallurgie;Rosstat Region_Pokaz_2025.pdf p.19-20
Республика Бурятия;Дальневосточный;984.0;438.0;102.0;105.2;124.2;49.5;198.0;38.0;22.0;520.0;102.0;72500.0;100.9;63.2;24.1;Métallurgie;"Rosstat p.19-20; Ulan-Ude aviation, coal mining, timber"
Республика Коми;Северо-Западный;731.0;948.0;215.0;102.6;528.8;38.0;152.0;42.0;8.0;280.0;105.0;98500.0;100.0;154.2;23.9;Métallurgie;"Rosstat p.19-20; Lukoil oil/gas, coal Vorkuta, timber"
Приморский край;Дальневосточный;1823.0;1385.0;458.0;102.8;240.2;97.0;388.0;72.0;38.0;1050.0;298.0;82500.0;100.5;122.0;23.9;Métallurgie;"Rosstat p.19-20; Vladivostok port (FREE PORT), shipbuilding, fisheries, SEZ, APEC hub"
Чеченская Республика;Северо-Кавказский;1556.0;422.0;145.0;110.5;49.2;19.5;78.0;22.0;28.0;1250.0;112.0;42800.0;103.0;28.3;23.3;Énergie/Gaz;"Rosstat p.19-20; oil (Rosneft), construction boom, food"
Тамбовская область;Центральный;980.0;454.0;108.0;107.8;82.2;49.5;198.0;28.0;115.0;520.0;110.0;58700.0;102.1;60.4;23.3;Agro-industrie;"Rosstat p.19-20; agro-processing, sugar, chemicals"
Новгородская область;Северо-Западный;588.0;393.0;102.0;105.8;91.2;49.5;198.0;28.0;22.0;320.0;85.0;68500.0;100.4;53.3;23.1;Métallurgie;"Rosstat p.19-20; chemicals (Akron fertilizers), electronics"
Республика Мордовия;Приволжский;773.0;378.0;108.0;107.6;86.2;52.0;208.0;28.0;42.0;380.0;88.0;58800.0;94.2;55.2;23.1;Métallurgie;"Rosstat p.19-20; fiber optics, lighting, cement, electronics"
Курганская область;Уральский;819.0;368.0;72.0;127.2;82.0;48.8;195.0;25.0;38.0;420.0;95.0;58200.0;111.4;51.7;23.0;Métallurgie;"Rosstat p.19-20; machinebuilding (Kurganmashzavod), pharma, food"
Орловская область;Центральный;693.0;358.0;88.0;105.7;72.2;42.0;168.0;25.0;72.0;450.0;88.0;58200.0;101.3;49.5;22.8;Métallurgie;"Rosstat p.19-20; machinebuilding, food"
Смоленская область;Центральный;855.0;425.0;95.0;104.1;83.2;49.5;198.0;72.0;42.0;420.0;108.0;61200.0;100.2;62.1;22.8;Énergie/Gaz;"Rosstat p.19-20; Smolensk NPP, diamonds, pharma"
Чукотский АО;Дальневосточный;49.0;248.0;62.0;108.0;191.0;3.8;15.0;12.0;2.0;42.0;18.0;145000.0;100.8;50.2;22.8;Métallurgie;"Rosstat p.19-20; gold (Chukotka Au, Barrick JV), coal Bering, Arctic mining"
Республика Марий Эл;Приволжский;671.0;272.0;62.0;108.4;62.8;38.0;152.0;22.0;38.0;320.0;72.0;58200.0;104.9;41.4;22.4;Métallurgie;"Rosstat p.19-20; instrumentation, electronics, food, forestry"
Ивановская область;Центральный;966.0;374.0;62.0;104.8;69.2;42.0;168.0;28.0;25.0;340.0;95.0;54100.0;99.5;44.7;22.4;Métallurgie;"Rosstat p.19-20; textile industry dominant"
Псковская область;Северо-Западный;594.0;268.0;58.0;108.4;51.2;29.5;118.0;20.0;28.0;310.0;72.0;57800.0;100.2;33.1;22.1;Métallurgie;"Rosstat p.19-20; machinebuilding, electronics"
Кабардино-Балкарская Республика;Северо-Кавказский;905.0;268.0;78.0;107.2;42.0;21.2;85.0;18.0;48.0;520.0;88.0;42800.0;102.8;28.6;22.1;Métallurgie;"Rosstat p.19-20; Tyrnyauz tungsten-molybdenum, food, hydropower"
г. Севастополь;Южный;545.0;218.0;85.0;108.5;29.2;17.0;68.0;18.0;8.0;520.0;72.0;62000.0;100.5;19.5;21.9;Énergie/Gaz;"Rosstat p.19-20; military port, shiprepair, tourism"
Республика Северная Осетия – Алания;Северо-Кавказский;693.0;210.0;62.0;109.2;40.8;20.5;82.0;18.0;25.0;420.0;72.0;46500.0;102.4;25.7;21.9;Métallurgie;"Rosstat p.19-20; Electrozinc (zinc/lead), food distillery, electronics"
Вологодская область;Северо-Западный;1105.0;975.0;268.0;102.2;247.2;149.5;598.0;52.0;55.0;620.0;162.0;72500.0;100.9;146.4;21.7;Métallurgie;"Rosstat p.19-20; Severstal (Cherepovets) - MAJEUR O2/N2 steel; chemicals, forestry"
Камчатский край;Дальневосточный;302.0;302.0;98.0;105.5;46.2;19.5;78.0;18.0;8.0;185.0;58.0;112000.0;100.6;24.8;21.7;Métallurgie;"Rosstat p.19-20; fisheries (king crab, salmon), geothermal energy, gold"
Карачаево-Черкесская Республика;Северо-Кавказский;472.0;152.0;45.0;105.8;25.8;13.0;52.0;12.0;28.0;285.0;45.0;42100.0;101.5;17.6;21.3;Métallurgie;"Rosstat p.19-20; cement, food, tourism"
Республика Адыгея;Южный;531.0;152.0;38.0;108.2;26.8;15.5;62.0;10.0;28.0;320.0;48.0;52400.0;102.5;18.6;21.3;Métallurgie;"Rosstat p.19-20; food processing, forestry, tourism"
Республика Хакасия;Сибирский;536.0;418.0;112.0;103.5;192.0;33.8;135.0;25.0;18.0;320.0;78.0;72500.0;104.5;68.9;21.0;Métallurgie;"Rosstat p.19-20; RUSAL Sayano-Shushenskaya Al, coal, iron ore, hydropower"
Рязанская область;Центральный;1071.0;621.0;165.0;102.4;142.0;77.5;310.0;78.0;62.0;680.0;165.0;68900.0;100.6;92.8;20.9;Énergie/Gaz;"Rosstat p.19-20; oil refinery RNPK, electronics, machine building"
Республика Ингушетия;Северо-Кавказский;534.0;96.0;38.0;108.5;9.2;4.5;18.0;8.0;15.0;380.0;28.0;38200.0;102.0;7.4;20.9;Énergie/Gaz;"Rosstat p.19-20; low industrial base, construction growth"
Республика Алтай;Сибирский;229.0;92.0;22.0;116.3;10.2;4.5;18.0;5.0;18.0;152.0;28.0;52800.0;100.5;7.4;20.6;Agro-industrie;"Rosstat p.19-20; tourism, herding, very low industrial base"
Амурская область;Дальневосточный;775.0;618.0;258.0;102.5;227.2;24.5;98.0;42.0;38.0;620.0;108.0;82100.0;100.3;78.4;20.4;Métallurgie;"Rosstat p.19-20; Vostochny cosmodrome, gold Pokrovskoye, Blagoveshchensk China border"
Архангельская область;Северо-Западный;1057.0;1012.0;265.0;101.9;202.8;78.0;312.0;52.0;22.0;680.0;138.0;92800.0;100.1;98.4;20.1;Métallurgie;"Rosstat p.19-20; incl. Nenets AO; Sevmash shipyard, forestry, Arkhangelsk port"
Костромская область;Центральный;616.0;305.0;62.0;103.6;59.0;35.0;140.0;25.0;28.0;360.0;72.0;58400.0;100.1;38.6;19.7;Métallurgie;"Rosstat p.19-20; metalwork, jewelry, forestry"
Республика Карелия;Северо-Западный;541.0;370.0;120.0;103.2;106.0;46.2;185.0;28.0;12.0;380.0;78.0;80200.0;99.8;54.3;19.7;Métallurgie;"Rosstat p.19-20; forestry, mining, metallurgy (Severstal supplier)"
Оренбургская область;Приволжский;1917.0;1565.0;435.0;97.1;795.0;131.2;525.0;78.0;128.0;1050.0;285.0;68500.0;108.3;281.7;19.3;Métallurgie;"Rosstat p.19-20; UGMK copper, oil/gas Orenburgneft, nickel, chrome"
Курская область;Центральный;1085.0;721.0;200.0;100.5;244.0;70.0;280.0;88.0;135.0;680.0;175.0;71800.0;102.4;123.0;18.6;Métallurgie;"Rosstat p.19-20; Mikhailovsky iron ore, Kursk NPP"
Республика Тыва;Сибирский;335.0;128.0;38.0;103.8;36.8;5.5;22.0;8.0;15.0;180.0;35.0;62500.0;95.3;14.6;18.6;Métallurgie;"Rosstat p.19-20; coal Ulug-Khemsky, strategic cobalt, difficult access"
Мурманская область;Северо-Западный;696.0;838.0;278.0;100.8;352.2;42.0;168.0;48.0;8.0;280.0;120.0;112000.0;100.5;114.9;18.5;Métallurgie;"Rosstat p.19-20; Norilsk Nickel (Kola), KGMK nickel/copper, fisheries, port"
Республика Калмыкия;Южный;265.0;98.0;28.0;103.5;23.8;5.5;22.0;8.0;32.0;165.0;28.0;48200.0;101.2;13.1;17.9;Agro-industrie;"Rosstat p.19-20; livestock, oil, solar energy"
Магаданская область;Дальневосточный;140.0;302.0;62.0;102.2;129.0;8.8;35.0;12.0;2.0;95.0;35.0;128000.0;100.5;37.7;16.7;Métallurgie;"Rosstat p.19-20; N°1 or Russie (Polyus, Polymetal), fisheries, très isolé"
Липецкая область;Центральный;1112.0;919.0;235.0;98.7;244.0;140.0;560.0;48.0;120.0;900.0;198.0;72600.0;101.8;146.8;14.8;Métallurgie;"Rosstat p.19-20; NLMK steel (2ème aciérie Russie - gros consommateur O2/N2)"
Еврейская АО;Дальневосточный;154.0;88.0;22.0;100.5;36.8;5.5;22.0;8.0;8.0;82.0;25.0;65800.0;100.2;13.9;11.9;Métallurgie;"Rosstat p.19-20; Kimkan iron ore, timber, small region, China border"
Белгородская область;Центральный;1511.0;1348.0;294.0;93.8;437.4;182.8;731.0;62.0;295.0;1820.0;328.0;74500.0;100.0;233.9;11.8;Métallurgie;"Rosstat Region_Pokaz_2025.pdf, Table 1.1 p.19-20; mining=iron ore Mikhailovsky GOK; mfg=steel/metallurgy"
