Region_Oblast;Federal_District;EIII_Regional_Score;Investment_Signal;Pilier_Economie_25pct;Pilier_Industrie_Lourde_20pct;Pilier_Energie_20pct;Pilier_Logistique_15pct;Pilier_Dynamisme_20pct;GRP_2023_bln_rub;Investment_2024_bln_rub;Gas_Demand_Proxy_bln_rub;Est_ROI_Potential_bln_rub_yr;Industrial_Index_2024;Population_thou;Source_Rosstat_Page
Иркутская область;Сибирский;42.9;🟡 WATCH;10.1;47.6;15.8;10.5;100.0;2685.0;755.0;441.1;35.3;105.2;2327.0;"Rosstat p.19-20; RUSAL Bratsk Al (N°1 Al monde), oil/gas IRKUTSK OIL, chemicals Sayankhimplast"
Самарская область;Приволжский;41.0;🟡 WATCH;10.7;34.8;19.0;19.6;100.0;3015.0;762.0;387.6;31.0;105.8;3156.0;"Rosstat p.19-20; AvtoVAZ, Kuibyshev Refinery, chemicals, aerospace, AK Bars"
Нижегородская область;Приволжский;41.0;🟡 WATCH;10.1;33.2;20.2;23.3;99.0;2810.0;725.0;398.4;31.9;104.9;3128.0;"Rosstat p.19-20; GAZ automotive, Lukoil refinery, defense, Sarov nuclear center, chemicals"
Республика Саха (Якутия);Дальневосточный;40.8;🟡 WATCH;10.3;47.6;11.0;5.6;100.0;2320.0;852.0;377.5;30.2;108.2;1000.0;"Rosstat p.19-20; ALROSA diamonds (25% mondial), gas Chayanda (Power of Siberia), coal, gold"
Республика Башкортостан;Приволжский;40.0;🟡 WATCH;10.3;30.1;17.4;27.0;100.0;2755.0;762.0;352.9;28.2;107.5;4076.0;"Rosstat p.19-20; Bashneft/Rosneft refinery, Ufaorgsintez chemicals, soda Bereznki"
Пермский край;Приволжский;38.2;🟠 CAUTION;8.8;33.8;14.8;13.1;100.0;2180.0;685.0;349.5;28.0;108.8;2534.0;"Rosstat p.19-20; LUKOIL-Perm, Uralchem/EuroChem potash, titanium VSMPO, defense"
Ростовская область;Южный;37.7;🟠 CAUTION;10.7;20.6;23.9;23.6;100.0;2892.0;782.0;281.3;22.5;107.2;4155.0;"Rosstat p.19-20; Taganrog port, Atommash, steel, machinebuilding, Rostov NPP"
Ханты-Мансийский АО – Югра;Уральский;37.2;🟠 CAUTION;30.1;100.0;29.8;10.3;15.0;8250.0;2185.0;1349.1;107.9;96.5;1730.0;"Rosstat p.19-20; KhMAO N°1 pétrole Russie 42%; Rosneft, Lukoil, Surgutneftegaz"
Сахалинская область;Дальневосточный;35.6;🟠 CAUTION;10.1;48.4;7.7;3.1;78.0;2185.0;852.0;380.5;30.4;102.8;477.0;"Rosstat p.19-20; Sakhalin-1/2 LNG (Rosneft/Novatek), oil offshore"
Ленинградская область;Северо-Западный;34.1;🟠 CAUTION;6.8;17.0;15.3;25.8;100.0;1620.0;542.0;210.6;16.8;111.2;2015.0;"Rosstat p.19-20; Ust-Luga port, petrochemicals, fertilizers (PhosAgro)"
Челябинская область;Уральский;32.6;🟠 CAUTION;10.8;38.9;23.9;16.3;49.0;2852.0;812.0;445.5;35.6;99.9;3452.0;"Rosstat p.19-20; MMK steel (N°1 acier Russie), ChMK, ferrochrome, machinebuilding - MAJEUR O2"
Воронежская область;Центральный;32.3;🟠 CAUTION;5.2;13.1;15.3;23.9;100.0;1450.0;368.0;185.3;14.8;108.4;2277.0;"Rosstat p.19-20; VASO aviation, Novovoronezhskaya NPP"
Новосибирская область;Сибирский;30.7;🟠 CAUTION;7.5;15.9;15.3;20.1;88.0;1985.0;558.0;202.9;16.2;103.8;2840.0;"Rosstat p.19-20; Novatek LNG, defense/electronics, biotech, Trans-Siberian hub"
Саратовская область;Приволжский;29.9;🟠 CAUTION;4.9;12.2;13.7;13.1;100.0;1328.0;362.0;160.1;12.8;108.1;2392.0;"Rosstat p.19-20; Balakovo NPP, chemicals, machinebuilding, refinery"
Волгоградская область;Южный;29.4;🟠 CAUTION;5.8;16.7;14.8;12.3;88.0;1618.0;418.0;212.5;17.0;103.8;2395.0;"Rosstat p.19-20; LUKOIL refinery, metallurgy EVRAZ, chemicals, major O2 consumer"
Удмуртская Республика;Приволжский;28.9;🟠 CAUTION;4.3;17.0;6.8;6.9;100.0;985.0;352.0;166.0;13.3;113.9;1459.0;"Rosstat p.19-20; Izhmash/Kalashnikov (defense), oil Udmurtneft, machinebuilding"
Ставропольский край;Северо-Кавказский;28.8;🟠 CAUTION;4.3;8.7;11.0;17.9;100.0;1125.0;318.0;129.4;10.4;108.2;2803.0;"Rosstat p.19-20; chemicals (EuroChem fertilizers), agro, tourism, pharmaceuticals"
Тульская область;Центральный;28.0;🟠 CAUTION;3.5;11.3;10.5;8.4;100.0;968.0;248.0;143.8;11.5;111.4;1437.0;"Rosstat p.19-20; metallurgy (KMZ), chemicals, defense industry"
Хабаровский край;Дальневосточный;27.6;🟠 CAUTION;4.7;12.0;11.0;5.7;98.0;1128.0;368.0;129.3;10.3;104.8;1280.0;"Rosstat p.19-20; Komsomolsk refinery Rosneft, aviation (Sukhoi/KnAAZ), shipbuilding"
Республика Дагестан;Северо-Кавказский;27.2;🟠 CAUTION;4.0;4.4;6.8;23.3;100.0;1012.0;312.0;68.1;5.4;112.8;3202.0;"Rosstat p.19-20; Mahachkala port Caspian, food, Caspian oil"
Омская область;Сибирский;26.8;🟠 CAUTION;5.0;15.7;12.6;8.5;82.0;1485.0;345.0;196.5;15.7;103.2;1887.0;"Rosstat p.19-20; Gazpromneft refinery Omsk, SIBUR petrochemicals, defense"
Владимирская область;Центральный;26.0;🟠 CAUTION;2.4;8.1;7.3;7.9;100.0;750.0;155.0;102.6;8.2;106.1;1341.0;"Rosstat Region_Pokaz_2025.pdf p.19-20; chemistry/glass/textile mfg"
Алтайский край;Сибирский;25.9;🟠 CAUTION;3.1;7.9;8.4;11.8;95.0;948.0;202.0;114.6;9.2;104.5;2240.0;"Rosstat p.19-20; chemicals (Barnaul), agro processing, machinebuilding"
Астраханская область;Южный;25.8;🟠 CAUTION;2.5;11.2;6.1;4.5;98.0;598.0;195.0;106.0;8.5;104.8;993.0;"Rosstat p.19-20; Caspian Sea oil/gas, shipbuilding, fisheries"
Калининградская область;Северо-Западный;25.6;🟠 CAUTION;2.3;7.7;6.8;6.7;100.0;742.0;148.0;96.3;7.7;109.4;1047.0;"Rosstat p.19-20; SEZ, port Baltic, automotive assembly, food"
Республика Крым;Южный;25.6;🟠 CAUTION;3.3;5.4;9.4;8.2;100.0;782.0;265.0;77.7;6.2;105.2;1870.0;"Rosstat p.19-20; Crimea Bridge access, tourism, agriculture, chemicals Titan"
Тверская область;Центральный;25.6;🟠 CAUTION;2.3;5.8;11.0;6.0;100.0;620.0;168.0;82.0;6.6;106.5;1219.0;"Rosstat p.19-20; Kalinin NPP, machinebuilding, textile"
Калужская область;Центральный;25.5;🟠 CAUTION;2.5;8.0;6.1;6.4;100.0;713.0;178.0;99.7;8.0;107.3;988.0;"Rosstat p.19-20; automotive SEZ Grabtsevo, pharma"
Томская область;Сибирский;25.3;🟠 CAUTION;3.4;15.0;7.7;6.4;85.0;898.0;248.0;142.1;11.4;103.5;1073.0;"Rosstat p.19-20; Tomsk Neftechim SIBUR, oil, academic city, electronics, nuclear"
Тюменская обл. без АО;Уральский;25.2;🟠 CAUTION;10.5;32.9;8.9;12.0;43.0;2270.0;885.0;343.6;27.5;99.3;1532.0;"Rosstat p.19-20; Tyumen city, logistics hub, SIBUR petrochemicals, Tobolsk"
Забайкальский край;Дальневосточный;25.1;🟠 CAUTION;2.0;8.2;6.8;3.6;100.0;552.0;145.0;77.2;6.2;105.8;1017.0;"Rosstat p.19-20; copper mining, coal, uranium, China border Chita"
Кировская область;Приволжский;24.8;🔴 AVOID;2.1;6.0;7.3;5.7;100.0;598.0;148.0;79.8;6.4;116.8;1190.0;"Rosstat p.19-20; chemicals (Kirovo-Chepetsk), machinebuilding, forestry"
Пензенская область;Приволжский;24.7;🔴 AVOID;2.1;5.7;5.6;7.6;100.0;598.0;145.0;76.7;6.1;110.0;1256.0;"Rosstat p.19-20; instrumentation, defense electronics, food, pharma"
Ульяновская область;Приволжский;24.6;🔴 AVOID;2.2;6.0;6.1;6.0;100.0;548.0;175.0;77.5;6.2;121.5;1195.0;"Rosstat p.19-20; aviation (UAZ, Aviastar), defense, machinebuilding"
Ярославская область;Центральный;24.6;🔴 AVOID;2.9;9.0;11.0;6.2;89.0;808.0;205.0;117.7;9.4;103.9;1218.0;"Rosstat p.19-20; oil refining (Slavneft), chemicals, machinebuilding"
Чувашская Республика;Приволжский;24.4;🔴 AVOID;1.6;5.5;5.6;6.0;100.0;545.0;98.0;73.3;5.9;114.3;1197.0;"Rosstat p.19-20; ELARA electronics, chemicals (Khimprom), machinebuilding"
Брянская область;Центральный;24.2;🔴 AVOID;2.0;5.5;4.5;6.0;100.0;632.0;131.0;74.1;5.9;105.2;1174.0;Rosstat Region_Pokaz_2025.pdf p.19-20
Республика Бурятия;Дальневосточный;24.1;🔴 AVOID;1.5;5.3;6.1;4.4;100.0;438.0;102.0;63.2;5.1;105.2;984.0;"Rosstat p.19-20; Ulan-Ude aviation, coal mining, timber"
Республика Коми;Северо-Западный;23.9;🔴 AVOID;3.2;18.6;6.8;2.4;76.0;948.0;215.0;154.2;12.3;102.6;731.0;"Rosstat p.19-20; Lukoil oil/gas, coal Vorkuta, timber"
Приморский край;Дальневосточный;23.9;🔴 AVOID;5.8;10.4;11.6;8.8;78.0;1385.0;458.0;122.0;9.8;102.8;1823.0;"Rosstat p.19-20; Vladivostok port (FREE PORT), shipbuilding, fisheries, SEZ, APEC hub"
Чеченская Республика;Северо-Кавказский;23.3;🔴 AVOID;1.8;2.1;3.5;10.3;100.0;422.0;145.0;28.3;2.3;110.5;1556.0;"Rosstat p.19-20; oil (Rosneft), construction boom, food"
Тамбовская область;Центральный;23.3;🔴 AVOID;1.6;3.9;4.5;4.4;100.0;454.0;108.0;60.4;4.8;107.8;980.0;"Rosstat p.19-20; agro-processing, sugar, chemicals"
Новгородская область;Северо-Западный;23.1;🔴 AVOID;1.4;4.2;4.5;2.7;100.0;393.0;102.0;53.3;4.3;105.8;588.0;"Rosstat p.19-20; chemicals (Akron fertilizers), electronics"
Республика Мордовия;Приволжский;23.1;🔴 AVOID;1.4;4.1;4.5;3.2;100.0;378.0;108.0;55.2;4.4;107.6;773.0;"Rosstat p.19-20; fiber optics, lighting, cement, electronics"
Курганская область;Уральский;23.0;🔴 AVOID;1.1;3.9;4.0;3.5;100.0;368.0;72.0;51.7;4.1;127.2;819.0;"Rosstat p.19-20; machinebuilding (Kurganmashzavod), pharma, food"
Орловская область;Центральный;22.8;🔴 AVOID;1.3;3.4;4.0;3.7;100.0;358.0;88.0;49.5;4.0;105.7;693.0;"Rosstat p.19-20; machinebuilding, food"
Смоленская область;Центральный;22.8;🔴 AVOID;1.4;4.0;11.6;3.5;91.0;425.0;95.0;62.1;5.0;104.1;855.0;"Rosstat p.19-20; Smolensk NPP, diamonds, pharma"
Чукотский АО;Дальневосточный;22.8;🔴 AVOID;0.9;6.5;1.9;0.3;100.0;248.0;62.0;50.2;4.0;108.0;49.0;"Rosstat p.19-20; gold (Chukotka Au, Barrick JV), coal Bering, Arctic mining"
Республика Марий Эл;Приволжский;22.4;🔴 AVOID;0.9;3.0;3.5;2.7;100.0;272.0;62.0;41.4;3.3;108.4;671.0;"Rosstat p.19-20; instrumentation, electronics, food, forestry"
Ивановская область;Центральный;22.4;🔴 AVOID;1.1;3.3;4.5;2.9;98.0;374.0;62.0;44.7;3.6;104.8;966.0;"Rosstat p.19-20; textile industry dominant"
Псковская область;Северо-Западный;22.1;🔴 AVOID;0.9;2.4;3.2;2.6;100.0;268.0;58.0;33.1;2.6;108.4;594.0;"Rosstat p.19-20; machinebuilding, electronics"
Кабардино-Балкарская Республика;Северо-Кавказский;22.1;🔴 AVOID;1.0;1.9;2.9;4.3;100.0;268.0;78.0;28.6;2.3;107.2;905.0;"Rosstat p.19-20; Tyrnyauz tungsten-molybdenum, food, hydropower"
г. Севастополь;Южный;21.9;🔴 AVOID;1.0;1.4;2.9;4.2;100.0;218.0;85.0;19.5;1.6;108.5;545.0;"Rosstat p.19-20; military port, shiprepair, tourism"
Республика Северная Осетия – Алания;Северо-Кавказский;21.9;🔴 AVOID;0.8;1.9;2.9;3.5;100.0;210.0;62.0;25.7;2.1;109.2;693.0;"Rosstat p.19-20; Electrozinc (zinc/lead), food distillery, electronics"
Вологодская область;Северо-Западный;21.7;🔴 AVOID;3.6;11.9;8.4;5.2;72.0;975.0;268.0;146.4;11.7;102.2;1105.0;"Rosstat p.19-20; Severstal (Cherepovets) - MAJEUR O2/N2 steel; chemicals, forestry"
Камчатский край;Дальневосточный;21.7;🔴 AVOID;1.2;2.0;2.9;1.5;100.0;302.0;98.0;24.8;2.0;105.5;302.0;"Rosstat p.19-20; fisheries (king crab, salmon), geothermal energy, gold"
Карачаево-Черкесская Республика;Северо-Кавказский;21.3;🔴 AVOID;0.6;1.2;1.9;2.4;100.0;152.0;45.0;17.6;1.4;105.8;472.0;"Rosstat p.19-20; cement, food, tourism"
Республика Адыгея;Южный;21.3;🔴 AVOID;0.5;1.3;1.6;2.7;100.0;152.0;38.0;18.6;1.5;108.2;531.0;"Rosstat p.19-20; food processing, forestry, tourism"
Республика Хакасия;Сибирский;21.0;🔴 AVOID;1.5;7.2;4.0;2.7;85.0;418.0;112.0;68.9;5.5;103.5;536.0;"Rosstat p.19-20; RUSAL Sayano-Shushenskaya Al, coal, iron ore, hydropower"
Рязанская область;Центральный;20.9;🔴 AVOID;2.3;6.6;12.6;5.7;74.0;621.0;165.0;92.8;7.4;102.4;1071.0;"Rosstat p.19-20; oil refinery RNPK, electronics, machine building"
Республика Ингушетия;Северо-Кавказский;20.9;🔴 AVOID;0.4;0.4;1.3;3.1;100.0;96.0;38.0;7.4;0.6;108.5;534.0;"Rosstat p.19-20; low industrial base, construction growth"
Республика Алтай;Сибирский;20.6;🔴 AVOID;0.3;0.4;0.8;1.3;100.0;92.0;22.0;7.4;0.6;116.3;229.0;"Rosstat p.19-20; tourism, herding, very low industrial base"
Амурская область;Дальневосточный;20.4;🔴 AVOID;3.0;8.2;6.8;5.1;75.0;618.0;258.0;78.4;6.3;102.5;775.0;"Rosstat p.19-20; Vostochny cosmodrome, gold Pokrovskoye, Blagoveshchensk China border"
Архангельская область;Северо-Западный;20.1;🔴 AVOID;3.7;8.7;8.4;5.6;69.0;1012.0;265.0;98.4;7.9;101.9;1057.0;"Rosstat p.19-20; incl. Nenets AO; Sevmash shipyard, forestry, Arkhangelsk port"
Костромская область;Центральный;19.7;🔴 AVOID;1.0;2.8;4.0;3.0;86.0;305.0;62.0;38.6;3.1;103.6;616.0;"Rosstat p.19-20; metalwork, jewelry, forestry"
Республика Карелия;Северо-Западный;19.7;🔴 AVOID;1.5;4.7;4.5;3.1;82.0;370.0;120.0;54.3;4.3;103.2;541.0;"Rosstat p.19-20; forestry, mining, metallurgy (Severstal supplier)"
Оренбургская область;Приволжский;19.3;🔴 AVOID;5.9;29.7;12.6;8.8;21.0;1565.0;435.0;281.7;22.5;97.1;1917.0;"Rosstat p.19-20; UGMK copper, oil/gas Orenburgneft, nickel, chrome"
Курская область;Центральный;18.6;🔴 AVOID;2.7;9.8;14.2;5.7;55.0;721.0;200.0;123.0;9.8;100.5;1085.0;"Rosstat p.19-20; Mikhailovsky iron ore, Kursk NPP"
Республика Тыва;Сибирский;18.6;🔴 AVOID;0.5;1.4;1.3;1.5;88.0;128.0;38.0;14.6;1.2;103.8;335.0;"Rosstat p.19-20; coal Ulug-Khemsky, strategic cobalt, difficult access"
Мурманская область;Северо-Западный;18.5;🔴 AVOID;3.5;12.8;7.7;2.4;58.0;838.0;278.0;114.9;9.2;100.8;696.0;"Rosstat p.19-20; Norilsk Nickel (Kola), KGMK nickel/copper, fisheries, port"
Республика Калмыкия;Южный;17.9;🔴 AVOID;0.4;0.9;1.3;1.4;85.0;98.0;28.0;13.1;1.0;103.5;265.0;"Rosstat p.19-20; livestock, oil, solar energy"
Магаданская область;Дальневосточный;16.7;🔴 AVOID;1.0;4.5;1.9;0.8;72.0;302.0;62.0;37.7;3.0;102.2;140.0;"Rosstat p.19-20; N°1 or Russie (Polyus, Polymetal), fisheries, très isolé"
Липецкая область;Центральный;14.8;🔴 AVOID;3.3;11.6;7.7;7.4;37.0;919.0;235.0;146.8;11.7;98.7;1112.0;"Rosstat p.19-20; NLMK steel (2ème aciérie Russie - gros consommateur O2/N2)"
Еврейская АО;Дальневосточный;11.9;🔴 AVOID;0.3;1.4;1.3;0.7;55.0;88.0;22.0;13.9;1.1;100.5;154.0;"Rosstat p.19-20; Kimkan iron ore, timber, small region, China border"
Белгородская область;Центральный;11.8;🔴 AVOID;4.4;19.0;10.0;14.8;0.0;1348.0;294.0;233.9;18.7;93.8;1511.0;"Rosstat Region_Pokaz_2025.pdf, Table 1.1 p.19-20; mining=iron ore Mikhailovsky GOK; mfg=steel/metallurgy"
