DeliveryID,SalesOrderID,Date,Status,TruckPlate
DEL-2DE539A4,SO-DADCB02B,2025-11-28,Completed,T959TX 152
DEL-BE8E6277,SO-25E3A84B,2026-05-28,Completed,Y829EC 152
DEL-A9898C41,SO-84FDE42E,2026-06-21,Completed,Y368ME 152
DEL-AED47B0E,SO-02804BD5,2026-04-26,Completed,P469PX 152
DEL-251239FE,SO-0C75CCBC,2026-01-31,Completed,P682XT 152
DEL-57B0DB66,SO-BB65C0B7,2025-09-13,Completed,T641OE 152
DEL-D60608A0,SO-257D757B,2025-09-11,Completed,M376CE 152
DEL-0BF06DDD,SO-1D237E49,2026-04-05,Completed,P659YK 152
DEL-A50981F0,SO-01B16B15,2026-05-10,Completed,H651AT 152
DEL-6A07100F,SO-D7A0A690,2025-12-14,Completed,T365BO 152
DEL-37C87613,SO-F319F44C,2026-05-08,Completed,B901PK 152
DEL-CB69D3DE,SO-B267A875,2026-05-12,Completed,X621TP 152
DEL-2ED540AB,SO-3EF401E8,2025-10-31,Completed,C917OP 152
DEL-E1C22F1B,SO-8F03A74D,2025-08-11,Completed,K200HH 152
DEL-F564DE0D,SO-63E39664,2026-06-15,Completed,H241HX 152
DEL-FB8980B4,SO-CF260075,2026-01-07,Completed,T486OK 152
DEL-FEDC5CFD,SO-397A4B42,2026-01-15,Completed,O483TC 152
DEL-ADD1377E,SO-CFC5FE5A,2026-01-15,Completed,P145BM 152
DEL-87D63B11,SO-2216E659,2025-10-05,Completed,H838KX 152
DEL-12C7075C,SO-50548F06,2025-10-11,Completed,T585BB 152
DEL-5C67B23D,SO-5AB45114,2026-03-05,Completed,T867AC 152
DEL-05965E81,SO-EAD1C788,2025-11-06,Completed,A788KT 152
DEL-E1928062,SO-7E1E0C0D,2025-09-27,Completed,O452CB 152
DEL-F1B2D802,SO-83349E5F,2026-05-19,Completed,H811KA 152
DEL-E4C9D63B,SO-75F34BBD,2026-02-17,Completed,B691YK 152
DEL-E14780F0,SO-9125BCBB,2026-01-05,Completed,E770AK 152
DEL-A823AABB,SO-5D89B466,2026-05-20,Completed,P780YE 152
DEL-16C41B6D,SO-A06BFE13,2025-12-01,Completed,E598OH 152
DEL-BF3B2965,SO-7BC78765,2025-09-02,Completed,M572PA 152
DEL-C5F37AAD,SO-8AEBE05D,2025-07-21,Completed,O293MC 152
DEL-963DFABF,SO-FD057B51,2025-08-04,Completed,E777HK 152
DEL-01E85C06,SO-37DCCE0E,2026-05-02,Completed,B311XE 152
DEL-442EDEE6,SO-D755D9B8,2026-02-09,Completed,B887OM 152
DEL-3942EE64,SO-1EB8E568,2025-11-09,Completed,A951HY 152
DEL-274B4268,SO-F75DFCF3,2025-11-25,Completed,C337MX 152
DEL-B54A7651,SO-12030785,2025-10-23,Completed,Y644BX 152
DEL-3E59E902,SO-F757EE5B,2026-06-12,Completed,P847XH 152
DEL-6A86B8AB,SO-0069170C,2026-03-26,Completed,C268KB 152
DEL-51ED5D3A,SO-9B100503,2026-04-19,Completed,M208XP 152
DEL-C88FC0D0,SO-8CFE119A,2025-11-09,Completed,K616CX 152
DEL-A27666F8,SO-028D59FB,2026-06-24,Completed,C646OO 152
DEL-8FA46593,SO-B54E59F7,2025-11-29,Completed,Y236OM 152
DEL-32FD61DD,SO-D2579657,2026-06-16,Completed,O240EX 152
DEL-769B871B,SO-814140B3,2025-07-06,Completed,H728BK 152
DEL-E4F9BC36,SO-D9703EE8,2026-01-29,Completed,E341KA 152
DEL-89DD6D8A,SO-0E247337,2026-03-21,Completed,O742TX 152
DEL-C3336E62,SO-F05CA3CF,2026-03-03,Completed,X560PB 152
DEL-80AAA6BE,SO-C4ECF47F,2025-12-18,Completed,A860TH 152
DEL-70087DED,SO-3D147A9F,2026-06-09,Completed,Y504OK 152
DEL-D34006FC,SO-51E2C050,2025-11-15,Completed,A618EE 152
DEL-E8D7A57F,SO-AA6DA8FE,2026-04-01,Completed,P677BB 152
DEL-BD283B1A,SO-0024002E,2026-02-27,Completed,M258EA 152
DEL-96E7D877,SO-CF5CFFA9,2026-02-13,Completed,M998YK 152
DEL-61F921F9,SO-73D1D720,2025-07-24,Completed,H695EO 152
DEL-258583AE,SO-B5FDFF9F,2026-04-12,Completed,B539PB 152
DEL-4B777AF2,SO-51D51631,2025-11-28,Completed,T353BB 152
DEL-2B4D9229,SO-E09FBCE4,2025-12-05,Completed,E768OX 152
DEL-231313DE,SO-CC27FAEE,2025-08-16,Completed,Y498PX 152
DEL-CF4B39EE,SO-76ED7AEB,2025-09-07,Completed,O309BY 152
DEL-5360DB39,SO-C5FAC3D9,2026-05-28,Completed,K359YT 152
DEL-6EA5C99B,SO-FA425DDE,2026-02-07,Completed,B429CO 152
DEL-7FB29968,SO-A2B8008B,2025-09-20,Completed,Y260KY 152
DEL-14216716,SO-F5D72EDD,2026-05-29,Completed,H154PM 152
DEL-DC5F47CB,SO-7C398A03,2026-03-05,Completed,K190EH 152
DEL-8C20569F,SO-6CFC63DB,2026-04-07,Completed,X163OA 152
DEL-1E6AFD70,SO-428F8D6A,2025-08-12,Completed,H995MM 152
DEL-99B8A149,SO-06B4C414,2026-03-22,Completed,T887AA 152
DEL-05C3D0A4,SO-DD17C2AB,2025-10-27,Completed,K594KX 152
DEL-270D6354,SO-39C55F76,2026-01-20,Completed,B928PB 152
DEL-EF566827,SO-6CA57092,2026-01-07,Completed,T432AE 152
DEL-14E7151C,SO-14C6C048,2025-08-21,Completed,T453EX 152
DEL-E3FA99A7,SO-C001A395,2026-06-21,Completed,C516HE 152
DEL-FE1E209B,SO-D2616A32,2025-11-28,Completed,C776AK 152
DEL-E61C9F1B,SO-A6B2EFF2,2026-03-14,Completed,M843BB 152
DEL-4E7732D7,SO-F5DF9F9B,2025-12-02,Completed,P399HX 152
DEL-EEFD0A80,SO-4FFCB6D0,2026-04-02,Completed,O970XM 152
DEL-5C166D5C,SO-C551C805,2026-03-08,Completed,O759CB 152
DEL-F4E1870A,SO-9EFB4E6E,2026-02-27,Completed,B996YK 152
DEL-0FC58014,SO-F57C4537,2025-10-24,Completed,M671MP 152
DEL-176F70FD,SO-465DAD7C,2026-06-27,Completed,P185MK 152
DEL-2E7F65ED,SO-939F4F46,2025-08-26,Completed,M662EM 152
DEL-3F19CC82,SO-9F54C8D9,2025-10-04,Completed,M107MP 152
DEL-1C6B8226,SO-2A8BE626,2025-08-06,Completed,M779MK 152
DEL-4B0F5B85,SO-E99B07B9,2025-09-11,Completed,M751EA 152
DEL-642F54EF,SO-967CB61A,2026-05-22,Completed,P173OA 152
DEL-5FE31C2C,SO-50AB4C20,2026-01-07,Completed,P649BA 152
DEL-EA422433,SO-0E1CD7A4,2025-12-21,Completed,P496YC 152
DEL-5DFBBEBC,SO-44AFD14E,2025-12-09,Completed,P716AK 152
DEL-952C1F29,SO-7680B496,2026-05-26,Completed,B151AT 152
DEL-97C353CE,SO-881EC3C7,2025-11-21,Completed,C489PK 152
DEL-9F02C314,SO-2F5B6DB6,2025-09-26,Completed,X630XE 152
DEL-21C9FDC9,SO-370C8FD4,2025-11-24,Completed,A403MP 152
DEL-0A226229,SO-0FFB85F0,2026-06-02,Completed,K178PM 152
DEL-EF729238,SO-6D344CB8,2026-05-15,Completed,X370BX 152
DEL-3BA47B30,SO-86F26EDC,2026-05-05,Completed,T733AE 152
DEL-006532B9,SO-6A07F53D,2025-12-02,Completed,B100YM 152
DEL-4A46CEFF,SO-422CB3C5,2026-02-28,Completed,Y262KB 152
DEL-FF9BA228,SO-C3F4D613,2026-01-24,Completed,K880CC 152
DEL-EFE097F9,SO-148A3B26,2026-06-17,Completed,E893XE 152
DEL-5C998CA7,SO-B53FA568,2026-05-19,Completed,T144YE 152
DEL-F84D6035,SO-65525741,2025-10-28,Completed,M834TH 152
DEL-E70BDA7D,SO-C4C7A907,2025-10-11,Completed,E390PM 152
DEL-2F5C925C,SO-036AC482,2025-09-11,Completed,P371TP 152
DEL-77FE8EC1,SO-3E671F69,2026-05-13,Completed,C637OO 152
DEL-F6C65E2F,SO-8DA7262B,2026-03-10,Completed,O242YY 152
DEL-6BFA8FD2,SO-27E3B556,2025-12-31,Completed,A225AO 152
DEL-16BAC5AE,SO-0CA4D89B,2026-01-28,Completed,C826BY 152
DEL-CF3D5F1C,SO-61FB8A29,2025-07-13,Completed,Y928BC 152
DEL-8ABF7AB1,SO-1ED4AF5E,2025-11-11,Completed,E845YK 152
DEL-F62A64FD,SO-CF92BBDD,2025-09-12,Completed,Y171YP 152
DEL-89747822,SO-16958C60,2025-08-06,Completed,E914KY 152
DEL-60B0BD3C,SO-FC36A22D,2025-10-09,Completed,K973BM 152
DEL-F617C427,SO-EFB9B713,2025-08-09,Completed,B314XE 152
DEL-C61981C0,SO-F6344487,2026-04-21,Completed,C835TX 152
DEL-789B2A1C,SO-F815089A,2025-12-19,Completed,X799BE 152
DEL-6DB50217,SO-063A488B,2026-03-23,Completed,O627KY 152
DEL-63065E7C,SO-0AFCF61F,2025-09-15,Completed,O745HX 152
DEL-D769EC1D,SO-B911CE8A,2026-03-23,Completed,O602EA 152
DEL-812530FE,SO-5E47FCF6,2026-03-29,Completed,Y792CB 152
DEL-44112945,SO-4EEF25F9,2026-01-31,Completed,C794BY 152
DEL-2080B1BF,SO-B0EDB6D5,2026-02-24,Completed,T519PE 152
DEL-E6F58885,SO-C7FFAC69,2026-03-16,Completed,T896BE 152
DEL-DDFE011D,SO-D1FF5D31,2025-12-18,Completed,X790YY 152
DEL-0941EF81,SO-3FB21C28,2025-11-07,Completed,C737YB 152
DEL-A83CE106,SO-043146EE,2026-03-26,Completed,P949BK 152
DEL-B5998905,SO-A9229A00,2025-10-12,Completed,X293BY 152
DEL-142269D0,SO-66EE9B5A,2025-12-30,Completed,X766EK 152
DEL-2156D5A6,SO-569F5E36,2025-10-28,Completed,A371HM 152
DEL-0EEE51F7,SO-23E9E3B7,2025-08-28,Completed,T647YH 152
DEL-FEB6BF4B,SO-105AC9A6,2025-08-13,Completed,M525BX 152
DEL-B75EE641,SO-74758F7B,2025-11-02,Completed,M492HB 152
DEL-3F42D1B2,SO-D4E15D62,2025-09-18,Completed,Y973BK 152
DEL-FEBACD4E,SO-D151ABF9,2025-11-03,Completed,E143EM 152
DEL-5C39FE17,SO-DEA458ED,2026-02-26,Completed,B769CK 152
DEL-C14874D1,SO-1B181AC4,2025-08-01,Completed,A757PC 152
DEL-847B5E1A,SO-3FE43485,2025-07-21,Completed,Y592AC 152
DEL-A107BD67,SO-72796B16,2025-09-24,Completed,X168KX 152
DEL-287FED64,SO-914FB4B2,2025-10-22,Completed,C550BP 152
DEL-2801EAB2,SO-4CA3EC59,2026-06-14,Completed,P117AB 152
DEL-2B265A9D,SO-8AA434C6,2026-03-06,Completed,K247KP 152
DEL-350EFCC7,SO-56D9C61A,2026-06-14,Completed,C251PP 152
DEL-CE70F87B,SO-F541A6BA,2025-11-04,Completed,M937CT 152
DEL-ACAD016B,SO-BD931B5F,2026-06-11,Completed,M558AY 152
DEL-1A990109,SO-DB8341AD,2025-10-12,Completed,A297EK 152
DEL-9A627270,SO-A0221715,2026-05-25,Completed,X800BE 152
DEL-DD72A8D9,SO-E8E88303,2025-08-25,Completed,E639OO 152
DEL-ABCFE55F,SO-FAF88BD4,2026-04-17,Completed,Y513BH 152
DEL-113292E2,SO-8E8CD33F,2025-10-31,Completed,T588EK 152
DEL-47A9596C,SO-5135C8C9,2025-11-30,Completed,B735OP 152
DEL-8C790104,SO-B7E7B672,2025-10-12,Completed,X801CK 152
DEL-8E9D63DD,SO-DB0078F2,2025-09-11,Completed,C275YA 152
DEL-7266B988,SO-FCAF4EC3,2025-08-10,Completed,K753BX 152
DEL-A7A4B461,SO-B6EB9890,2026-02-20,Completed,Y761YX 152
DEL-47267755,SO-4F43422E,2026-05-06,Completed,T586YT 152
DEL-F26778EB,SO-8D41D2BF,2026-02-22,Completed,E257EY 152
DEL-1F27EB58,SO-F32C79E4,2025-11-17,Completed,K131CM 152
DEL-FE17C408,SO-91F138B6,2026-01-29,Completed,E933TA 152
DEL-CA208197,SO-1FFFE47F,2026-04-30,Completed,K471PX 152
DEL-56B6C419,SO-3CC29E01,2025-10-19,Completed,A728OT 152
DEL-BA201BCD,SO-73FABD84,2025-10-08,Completed,A685TM 152
DEL-9024FD53,SO-7989ED59,2025-09-08,Completed,T419EC 152
DEL-9CE4722C,SO-26384CE4,2025-09-16,Completed,H427PY 152
DEL-54024E15,SO-514B4A7A,2025-12-29,Completed,T553YB 152
DEL-6724301B,SO-AA67D2A3,2025-11-08,Completed,B440OT 152
DEL-FDA14650,SO-9063A8C5,2026-06-22,Completed,M837PC 152
DEL-7611FC9B,SO-678315F2,2025-08-16,Completed,A272KH 152
DEL-0E69FC66,SO-0865F202,2026-03-13,Completed,X599YT 152
DEL-9A56B6AE,SO-80B1A223,2025-11-07,Completed,E205MH 152
DEL-09C3EAEF,SO-EFB81DFE,2025-11-22,Completed,X755YH 152
DEL-6D0F6431,SO-F11D8CAA,2026-03-03,Completed,P255TX 152
DEL-1A821628,SO-804585DB,2026-01-04,Completed,A720XX 152
DEL-2018D148,SO-59C47E30,2025-07-28,Completed,B776PO 152
DEL-8A7160F6,SO-FD9758F1,2025-09-14,Completed,E845XB 152
DEL-03615CEE,SO-E12EF5C9,2025-07-27,Completed,O573TY 152
DEL-8BDA377A,SO-B3808188,2026-06-06,Completed,M432BC 152
DEL-A9D206BE,SO-3D504797,2026-04-21,Completed,E931PB 152
DEL-ADA79E7D,SO-423F957D,2025-07-15,Completed,A506BE 152
DEL-946C15D4,SO-635D91EC,2026-05-22,Completed,C796XK 152
DEL-D7D8B217,SO-8E60EB50,2025-12-29,Completed,Y124KH 152
DEL-012BC9C0,SO-1D95D4AD,2026-06-22,Completed,P149KY 152
DEL-F085F348,SO-F24D0966,2026-04-26,Completed,M644MB 152
DEL-B9200BD5,SO-E39FEE70,2025-08-09,Completed,B402PX 152
DEL-C10488C1,SO-F4C68880,2026-06-30,Completed,X806XP 152
DEL-B49F4BA5,SO-0469BCF2,2026-02-15,Completed,X928PH 152
DEL-723FB88B,SO-368F0CB7,2025-09-18,Completed,T958BM 152
DEL-910CBEEC,SO-3E2DF1B0,2025-11-16,Completed,H629TE 152
DEL-1954F212,SO-F4542F0B,2026-04-28,Completed,K175YC 152
DEL-0F5F14DD,SO-8A7F015A,2025-08-22,Completed,O224MH 152
DEL-CCB0D5DC,SO-302386A2,2025-07-23,Completed,P577PH 152
DEL-9A4FABAA,SO-56E43C1E,2026-05-09,Completed,O396YO 152
DEL-91BCD742,SO-20EF2EF1,2025-07-25,Completed,Y917HA 152
DEL-D7A00288,SO-7900DF75,2025-11-17,Completed,A790MH 152
DEL-24E3536F,SO-6A655FDC,2026-07-02,Completed,O685XK 152
DEL-EE450FEA,SO-C6D26008,2026-01-10,Completed,T138YE 152
DEL-D1313BD3,SO-79619579,2025-10-18,Completed,A721EX 152
DEL-811EB803,SO-9B1A9DB8,2025-10-20,Completed,C605CA 152
DEL-5BD87F8A,SO-4734A598,2026-01-05,Completed,T305CX 152
DEL-A7B9C73B,SO-892FFDA9,2026-04-01,Completed,E565CC 152
DEL-264BB520,SO-22872CB3,2026-05-29,Completed,M198HY 152
DEL-E37370F9,SO-BD542E26,2026-06-12,Completed,B224XX 152
DEL-1D0B1A83,SO-57D61D39,2026-06-02,Completed,A680AO 152
DEL-11C79953,SO-9FE1A2A1,2026-06-27,Completed,P731KT 152
DEL-696C2586,SO-E9CDFE6C,2026-06-02,Completed,C242CX 152
DEL-E5CB4C97,SO-87C65D5E,2025-10-28,Completed,K119OY 152
DEL-C7D88914,SO-C296E652,2025-09-11,Completed,H807MB 152
DEL-F54B08E0,SO-74220542,2026-05-16,Completed,C511MY 152
DEL-B1E45960,SO-085DF882,2025-11-06,Completed,K935HM 152
DEL-983DCFB6,SO-EF9DF579,2026-02-24,Completed,P151AH 152
DEL-D01A7BFF,SO-8EF9796D,2026-03-12,Completed,X286YB 152
DEL-83124322,SO-8E83196E,2026-03-16,Completed,K706KK 152
DEL-7BC69C80,SO-F4E666F2,2026-01-24,Completed,Y324OP 152
DEL-D9189C55,SO-1EB1340F,2025-11-25,Completed,M393TK 152
DEL-D736876A,SO-7D9F5587,2025-12-10,Completed,C943AO 152
DEL-B5A1C492,SO-66FACE68,2025-11-14,Completed,T582YK 152
DEL-98ACBBFF,SO-E97318A1,2025-10-03,Completed,X866PK 152
DEL-3B70575E,SO-236AB3F0,2026-03-03,Completed,A664YT 152
DEL-0832F730,SO-CD6A4027,2026-03-10,Completed,A103EB 152
DEL-10E08056,SO-F2CD7D17,2025-12-27,Completed,C735AC 152
DEL-1E41944E,SO-F8B826A5,2026-03-07,Completed,E357KM 152
DEL-3E99BCFF,SO-E0CB2ED4,2026-02-17,Completed,P302KA 152
DEL-BF9E84C3,SO-33542EBE,2026-02-14,Completed,C500OM 152
DEL-4CDA9F13,SO-C8B83EA5,2026-01-21,Completed,P132CP 152
DEL-8FDD7C44,SO-2A652FB5,2025-11-16,Completed,O709EA 152
DEL-B5847776,SO-4CE490AD,2026-04-12,Completed,P387KC 152
DEL-4D096793,SO-21F694AF,2025-08-03,Completed,P996TE 152
DEL-4FD9F4FB,SO-38AB9492,2026-01-13,Completed,O803HP 152
DEL-9DF52724,SO-B339E5B8,2026-06-28,Completed,K192XX 152
DEL-EBEE59D8,SO-0DD95906,2025-09-11,Completed,T179BK 152
DEL-04542F12,SO-6863B5D3,2025-09-16,Completed,H233CC 152
DEL-E12FD05F,SO-E5636D4E,2026-03-24,Completed,K875BH 152
DEL-136A93D7,SO-D827C0F2,2026-03-10,Completed,B683HY 152
DEL-D7161E54,SO-8543470E,2025-08-25,Completed,H345EY 152
DEL-301D0837,SO-423F768F,2026-05-27,Completed,P610MP 152
DEL-276FE232,SO-D7D6F8D0,2025-10-16,Completed,K995CC 152
DEL-54C7A63E,SO-769E3FBD,2025-11-28,Completed,X232MX 152
DEL-F64B6D3E,SO-86EC12F5,2025-08-15,Completed,T883CH 152
DEL-A0467EF9,SO-8573D2BF,2025-09-27,Completed,T482MA 152
DEL-180672A1,SO-123A0A49,2025-11-08,Completed,B818KC 152
DEL-60D84171,SO-20155532,2026-05-30,Completed,O461BP 152
DEL-EC800351,SO-415F535B,2025-07-07,Completed,E498EC 152
DEL-93C40F99,SO-683D7C3F,2026-05-12,Completed,H664BT 152
DEL-D6AB01FB,SO-BA2D5233,2025-12-10,Completed,P628XP 152
DEL-A8ACB73D,SO-5B6F7C92,2026-03-14,Completed,B657OO 152
DEL-092F065D,SO-24B7B789,2026-05-14,Completed,H850XT 152
DEL-4DB29A90,SO-1CB6B3F9,2025-08-11,Completed,Y292TM 152
DEL-61CB6312,SO-F5391961,2026-01-21,Completed,O773AX 152
