Scenario;Region_Oblast;Opportunity_ID;Federal_District;EIII_Score;Sanctions_Multiplier;Revenue_M_EUR_yr;CAPEX_Required_M_EUR;ROI_Payback_Years;Top_Gas_Product;BD_Priority;Notes
Baseline_Sanctions_2025;г. Москва;AL-RU-Г.М-2025;Центральный;92.3;1.0;0.19;1.3;6.8;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;г. Москва;AL-RU-Г.М-2025;Центральный;92.3;1.4;0.27;1.3;4.9;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;г. Москва;AL-RU-Г.М-2025;Центральный;92.3;2.0;0.38;1.3;3.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;г. Москва;AL-RU-Г.М-2025;Центральный;92.3;2.8;0.53;1.3;2.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;г. Москва;AL-RU-Г.М-2025;Центральный;92.3;4.2;0.8;1.3;1.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Красноярский край;AL-RU-КРАС-2025;Сибирский;48.6;1.0;0.15;1.0;6.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Красноярский край;AL-RU-КРАС-2025;Сибирский;48.6;1.4;0.21;1.0;4.8;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Красноярский край;AL-RU-КРАС-2025;Сибирский;48.6;2.0;0.3;1.0;3.3;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Красноярский край;AL-RU-КРАС-2025;Сибирский;48.6;2.8;0.42;1.0;2.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Красноярский край;AL-RU-КРАС-2025;Сибирский;48.6;4.2;0.63;1.0;1.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Ямало-Ненецкий АО;AL-RU-ЯМАЛ-2025;Уральский;49.5;1.0;0.14;1.0;7.1;O2+N2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Ямало-Ненецкий АО;AL-RU-ЯМАЛ-2025;Уральский;49.5;1.4;0.2;1.0;5.1;O2+N2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Ямало-Ненецкий АО;AL-RU-ЯМАЛ-2025;Уральский;49.5;2.0;0.28;1.0;3.6;O2+N2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Ямало-Ненецкий АО;AL-RU-ЯМАЛ-2025;Уральский;49.5;2.8;0.39;1.0;2.6;O2+N2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Ямало-Ненецкий АО;AL-RU-ЯМАЛ-2025;Уральский;49.5;4.2;0.59;1.0;1.7;O2+N2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Московская область;AL-RU-МОСК-2025;Центральный;71.1;1.0;0.14;1.0;7.1;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Московская область;AL-RU-МОСК-2025;Центральный;71.1;1.4;0.2;1.0;5.1;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Московская область;AL-RU-МОСК-2025;Центральный;71.1;2.0;0.28;1.0;3.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Московская область;AL-RU-МОСК-2025;Центральный;71.1;2.8;0.39;1.0;2.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Московская область;AL-RU-МОСК-2025;Центральный;71.1;4.2;0.59;1.0;1.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Республика Татарстан;AL-RU-РЕСП-2025;Приволжский;53.0;1.0;0.12;0.8;6.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Республика Татарстан;AL-RU-РЕСП-2025;Приволжский;53.0;1.4;0.17;0.8;4.8;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Республика Татарстан;AL-RU-РЕСП-2025;Приволжский;53.0;2.0;0.24;0.8;3.3;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Республика Татарстан;AL-RU-РЕСП-2025;Приволжский;53.0;2.8;0.34;0.8;2.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Республика Татарстан;AL-RU-РЕСП-2025;Приволжский;53.0;4.2;0.5;0.8;1.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Свердловская область;AL-RU-СВЕР-2025;Уральский;51.0;1.0;0.12;0.8;6.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Свердловская область;AL-RU-СВЕР-2025;Уральский;51.0;1.4;0.17;0.8;4.8;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Свердловская область;AL-RU-СВЕР-2025;Уральский;51.0;2.0;0.24;0.8;3.3;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Свердловская область;AL-RU-СВЕР-2025;Уральский;51.0;2.8;0.34;0.8;2.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Свердловская область;AL-RU-СВЕР-2025;Уральский;51.0;4.2;0.5;0.8;1.6;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Кемеровская область;AL-RU-КЕМЕ-2025;Сибирский;45.4;1.0;0.11;0.7;6.4;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Кемеровская область;AL-RU-КЕМЕ-2025;Сибирский;45.4;1.4;0.15;0.7;4.5;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Кемеровская область;AL-RU-КЕМЕ-2025;Сибирский;45.4;2.0;0.22;0.7;3.2;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Кемеровская область;AL-RU-КЕМЕ-2025;Сибирский;45.4;2.8;0.31;0.7;2.3;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;Кемеровская область;AL-RU-КЕМЕ-2025;Сибирский;45.4;4.2;0.46;0.7;1.5;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;г. Санкт-Петербург;AL-RU-Г.С-2025;Северо-Западный;52.4;1.0;0.1;0.7;7.0;H2+CO2;TIER 1 - CRITIQUE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;г. Санкт-Петербург;AL-RU-Г.С-2025;Северо-Западный;52.4;1.4;0.14;0.7;5.0;H2+CO2;TIER 1 - CRITIQUE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;г. Санкт-Петербург;AL-RU-Г.С-2025;Северо-Западный;52.4;2.0;0.2;0.7;3.5;H2+CO2;TIER 1 - CRITIQUE;Scénario Full_Lift_2027 x2.0
Recovery_2028;г. Санкт-Петербург;AL-RU-Г.С-2025;Северо-Западный;52.4;2.8;0.28;0.7;2.5;H2+CO2;TIER 1 - CRITIQUE;Scénario Recovery_2028 x2.8
Boom_2030;г. Санкт-Петербург;AL-RU-Г.С-2025;Северо-Западный;52.4;4.2;0.42;0.7;1.7;H2+CO2;TIER 1 - CRITIQUE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Челябинская область;AL-RU-ЧЕЛЯ-2025;Уральский;32.6;1.0;0.09;0.6;6.7;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Челябинская область;AL-RU-ЧЕЛЯ-2025;Уральский;32.6;1.4;0.13;0.6;4.8;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Челябинская область;AL-RU-ЧЕЛЯ-2025;Уральский;32.6;2.0;0.18;0.6;3.3;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Челябинская область;AL-RU-ЧЕЛЯ-2025;Уральский;32.6;2.8;0.25;0.6;2.4;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Челябинская область;AL-RU-ЧЕЛЯ-2025;Уральский;32.6;4.2;0.38;0.6;1.6;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Иркутская область;AL-RU-ИРКУ-2025;Сибирский;42.9;1.0;0.09;0.6;6.7;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Иркутская область;AL-RU-ИРКУ-2025;Сибирский;42.9;1.4;0.13;0.6;4.8;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Иркутская область;AL-RU-ИРКУ-2025;Сибирский;42.9;2.0;0.18;0.6;3.3;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Иркутская область;AL-RU-ИРКУ-2025;Сибирский;42.9;2.8;0.25;0.6;2.4;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Иркутская область;AL-RU-ИРКУ-2025;Сибирский;42.9;4.2;0.38;0.6;1.6;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Нижегородская область;AL-RU-НИЖЕ-2025;Приволжский;41.0;1.0;0.08;0.5;6.2;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Нижегородская область;AL-RU-НИЖЕ-2025;Приволжский;41.0;1.4;0.11;0.5;4.5;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Нижегородская область;AL-RU-НИЖЕ-2025;Приволжский;41.0;2.0;0.16;0.5;3.1;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Нижегородская область;AL-RU-НИЖЕ-2025;Приволжский;41.0;2.8;0.22;0.5;2.2;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Нижегородская область;AL-RU-НИЖЕ-2025;Приволжский;41.0;4.2;0.34;0.5;1.5;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Самарская область;AL-RU-САМА-2025;Приволжский;41.0;1.0;0.08;0.5;6.2;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Самарская область;AL-RU-САМА-2025;Приволжский;41.0;1.4;0.11;0.5;4.5;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Самарская область;AL-RU-САМА-2025;Приволжский;41.0;2.0;0.16;0.5;3.1;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Самарская область;AL-RU-САМА-2025;Приволжский;41.0;2.8;0.22;0.5;2.2;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Самарская область;AL-RU-САМА-2025;Приволжский;41.0;4.2;0.34;0.5;1.5;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Сахалинская область;AL-RU-САХА-2025;Дальневосточный;35.6;1.0;0.08;0.5;6.2;O2+N2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Сахалинская область;AL-RU-САХА-2025;Дальневосточный;35.6;1.4;0.11;0.5;4.5;O2+N2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Сахалинская область;AL-RU-САХА-2025;Дальневосточный;35.6;2.0;0.16;0.5;3.1;O2+N2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Сахалинская область;AL-RU-САХА-2025;Дальневосточный;35.6;2.8;0.22;0.5;2.2;O2+N2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Сахалинская область;AL-RU-САХА-2025;Дальневосточный;35.6;4.2;0.34;0.5;1.5;O2+N2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Республика Саха (Якутия);AL-RU-РЕСП-2025;Дальневосточный;40.8;1.0;0.07;0.5;7.1;O2+N2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Республика Саха (Якутия);AL-RU-РЕСП-2025;Дальневосточный;40.8;1.4;0.1;0.5;5.1;O2+N2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Республика Саха (Якутия);AL-RU-РЕСП-2025;Дальневосточный;40.8;2.0;0.14;0.5;3.6;O2+N2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Республика Саха (Якутия);AL-RU-РЕСП-2025;Дальневосточный;40.8;2.8;0.2;0.5;2.6;O2+N2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Республика Саха (Якутия);AL-RU-РЕСП-2025;Дальневосточный;40.8;4.2;0.29;0.5;1.7;O2+N2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Краснодарский край;AL-RU-КРАС-2025;Южный;44.7;1.0;0.07;0.5;7.1;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Краснодарский край;AL-RU-КРАС-2025;Южный;44.7;1.4;0.1;0.5;5.1;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Краснодарский край;AL-RU-КРАС-2025;Южный;44.7;2.0;0.14;0.5;3.6;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Краснодарский край;AL-RU-КРАС-2025;Южный;44.7;2.8;0.2;0.5;2.6;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Краснодарский край;AL-RU-КРАС-2025;Южный;44.7;4.2;0.29;0.5;1.7;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Республика Башкортостан;AL-RU-РЕСП-2025;Приволжский;40.0;1.0;0.07;0.5;7.1;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Республика Башкортостан;AL-RU-РЕСП-2025;Приволжский;40.0;1.4;0.1;0.5;5.1;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Республика Башкортостан;AL-RU-РЕСП-2025;Приволжский;40.0;2.0;0.14;0.5;3.6;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Республика Башкортостан;AL-RU-РЕСП-2025;Приволжский;40.0;2.8;0.2;0.5;2.6;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Республика Башкортостан;AL-RU-РЕСП-2025;Приволжский;40.0;4.2;0.29;0.5;1.7;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Пермский край;AL-RU-ПЕРМ-2025;Приволжский;38.2;1.0;0.07;0.5;7.1;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Пермский край;AL-RU-ПЕРМ-2025;Приволжский;38.2;1.4;0.1;0.5;5.1;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Пермский край;AL-RU-ПЕРМ-2025;Приволжский;38.2;2.0;0.14;0.5;3.6;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Пермский край;AL-RU-ПЕРМ-2025;Приволжский;38.2;2.8;0.2;0.5;2.6;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Пермский край;AL-RU-ПЕРМ-2025;Приволжский;38.2;4.2;0.29;0.5;1.7;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
Baseline_Sanctions_2025;Тюменская обл. без АО;AL-RU-ТЮМЕ-2025;Уральский;25.2;1.0;0.07;0.5;7.1;H2+CO2;TIER 2 - HAUTE;Scénario Baseline_Sanctions_2025 x1.0
Partial_Lift_2026;Тюменская обл. без АО;AL-RU-ТЮМЕ-2025;Уральский;25.2;1.4;0.1;0.5;5.1;H2+CO2;TIER 2 - HAUTE;Scénario Partial_Lift_2026 x1.4
Full_Lift_2027;Тюменская обл. без АО;AL-RU-ТЮМЕ-2025;Уральский;25.2;2.0;0.14;0.5;3.6;H2+CO2;TIER 2 - HAUTE;Scénario Full_Lift_2027 x2.0
Recovery_2028;Тюменская обл. без АО;AL-RU-ТЮМЕ-2025;Уральский;25.2;2.8;0.2;0.5;2.6;H2+CO2;TIER 2 - HAUTE;Scénario Recovery_2028 x2.8
Boom_2030;Тюменская обл. без АО;AL-RU-ТЮМЕ-2025;Уральский;25.2;4.2;0.29;0.5;1.7;H2+CO2;TIER 2 - HAUTE;Scénario Boom_2030 x4.2
